hip,name,bayer,ra_deg,dec_deg,parallax_mas,pm_ra_mas_yr,pm_dec_mas_yr,mag_v,bp_rp,spectral_type,radial_velocity_kms,hd
32349,Sirius,α CMa,101.2875,-16.7161,379.21,-546.01,-1223.08,-1.46,0.01,A1V,-7.6,48915
30438,Canopus,α Car,95.9879,-52.6957,10.55,19.99,23.67,-0.74,0.15,F0II,20.5,45348
69673,Arcturus,α Boo,213.9153,19.1824,88.83,-1093.39,-2000.06,-0.05,1.23,K1.5III,-5.19,124897
71683,α Centauri A,α Cen A,219.9021,-60.8339,754.81,-3608.0,686.0,-0.01,0.71,G2V,-22.4,128620
71681,α Centauri B,α Cen B,219.9042,-60.8354,754.81,-3602.0,954.0,1.33,0.88,K1V,-21.0,128621
70890,Proxima Centauri,α Cen C,217.4290,-62.6795,768.87,-3781.74,769.78,11.13,3.82,M5.5Ve,-21.7,
91262,Vega,α Lyr,279.2347,38.7837,130.23,200.94,286.23,0.03,0.15,A0V,-13.9,172167
24608,Capella,α Aur,79.1723,45.9980,76.20,75.52,-427.13,0.08,0.79,G8III,29.19,34029
24436,Rigel,β Ori,78.6345,-8.2017,3.78,1.31,0.5,0.13,-0.03,B8Ia,20.7,34085
37279,Procyon,α CMi,114.8255,5.2250,284.56,-714.59,-1036.8,0.34,0.42,F5IV-V,-3.2,61421
7588,Achernar,α Eri,24.4285,-57.2368,23.39,87.0,-40.08,0.46,-0.14,B6Ve,16.0,10144
27989,Betelgeuse,α Ori,88.7929,7.4071,6.56,27.54,11.3,0.50,1.85,M1-2Ia-Iab,21.91,39801
68702,Hadar,β Cen,210.9559,-60.3730,8.32,-33.96,-25.06,0.61,-0.23,B1III,5.9,122451
97649,Altair,α Aql,297.6958,8.8683,194.95,536.23,385.29,0.77,0.22,A7V,-26.1,187642
60718,Acrux,α Cru,186.6496,-63.0991,10.17,-35.83,-14.86,0.76,-0.24,B0.5IV,-11.2,108248
21421,Aldebaran,α Tau,68.9801,16.5093,48.94,63.45,-188.94,0.86,1.44,K5III,54.26,29139
80763,Antares,α Sco,247.3520,-26.4320,5.89,-12.11,-23.3,0.96,1.82,M1.5Iab-Ib,-3.4,148478
65474,Spica,α Vir,201.2983,-11.1613,13.06,-42.5,-31.73,0.97,-0.23,B1III-IV,1.0,116658
37826,Pollux,β Gem,116.3289,28.0262,96.54,-625.69,-45.95,1.14,1.00,K0III,3.23,62509
113368,Fomalhaut,α PsA,344.4127,-29.6222,129.81,328.95,-164.67,1.16,0.09,A3V,6.5,216956
102098,Deneb,α Cyg,310.3580,45.2803,1.01,1.99,1.95,1.25,0.09,A2Ia,-4.5,197345
62434,Mimosa,β Cru,193.2017,-59.6888,11.71,-48.24,-12.82,1.25,-0.24,B0.5III,15.6,111123
49669,Regulus,α Leo,152.0930,11.9672,41.13,-249.4,4.91,1.36,-0.11,B8IVn,5.9,87901
33579,Adhara,ε CMa,104.6562,-28.9721,7.57,2.63,2.29,1.50,-0.21,B2Iab,27.3,52089
36850,Castor,α Gem,113.6500,31.8883,64.12,-191.45,-145.15,1.58,0.24,A1V,-1.2,60178
61084,Gacrux,γ Cru,187.7915,-57.1133,36.83,28.23,-264.58,1.64,1.60,M3.5III,21.0,108903
85927,Shaula,λ Sco,253.4000,-37.1038,5.71,-8.53,-30.8,1.62,-0.22,B2IV,-3.0,158926
25336,Bellatrix,γ Ori,81.2826,6.3497,13.42,-8.11,-12.88,1.64,-0.22,B2III,18.2,35468
25428,Elnath,β Tau,81.5730,28.6075,24.89,23.28,-174.22,1.65,-0.13,B7III,8.0,35497
