number,ngc,common_name,ra_deg,dec_deg,constellation,angular_size_arcmin,magnitude,distance_pc
1,NGC 1952,Crab Nebula,83.6331,22.0145,Taurus,6.0,8.4,2000
2,NGC 7089,,323.3626,-0.8233,Aquarius,16.0,6.5,11500
3,NGC 5272,,205.5485,28.3773,Canes Venatici,18.0,6.2,10400
4,NGC 6121,,245.8967,-26.5258,Scorpius,26.0,5.6,2200
5,NGC 5904,,229.6384,2.0810,Serpens,23.0,5.7,7500
6,NGC 6405,Butterfly Cluster,265.0690,-32.2554,Scorpius,25.0,4.2,491
7,NGC 6475,Ptolemy's Cluster,268.4463,-34.7928,Scorpius,80.0,3.3,301
8,NGC 6523,Lagoon Nebula,270.9042,-24.3867,Sagittarius,90.0,6.0,1250
9,NGC 6333,,259.7991,-18.5164,Ophiuchus,12.0,7.7,7900
10,NGC 6254,,254.2877,-4.1003,Ophiuchus,20.0,6.6,4400
11,NGC 6705,Wild Duck Cluster,282.7729,-6.2716,Scutum,14.0,6.3,1900
12,NGC 6218,,251.8090,-1.9483,Ophiuchus,16.0,6.8,4800
13,NGC 6205,Hercules Globular,250.4217,36.4613,Hercules,20.0,5.8,7700
14,NGC 6402,,264.4007,-3.2459,Ophiuchus,11.0,7.6,9000
15,NGC 7078,,322.4930,12.1670,Pegasus,18.0,6.2,10400
16,NGC 6611,Eagle Nebula,274.7004,-13.7875,Serpens,7.0,6.0,2000
17,NGC 6618,Omega Nebula,275.1963,-16.1728,Sagittarius,11.0,6.0,1700
18,NGC 6613,,274.9996,-17.1028,Sagittarius,9.0,7.5,1300
19,NGC 6273,,255.6571,-26.2680,Ophiuchus,14.0,6.8,8800
20,NGC 6514,Trifid Nebula,270.6042,-23.0300,Sagittarius,28.0,6.3,1650
21,NGC 6531,,271.0500,-22.5000,Sagittarius,13.0,5.9,1250
22,NGC 6656,,279.0998,-23.9047,Sagittarius,24.0,5.1,3200
23,NGC 6494,,269.2458,-19.0100,Sagittarius,27.0,5.5,660
24,,Sagittarius Star Cloud,274.0000,-18.5000,Sagittarius,90.0,4.6,3100
25,IC 4725,,277.9375,-19.2471,Sagittarius,32.0,4.6,600
26,NGC 6694,,266.2625,-9.3867,Scutum,15.0,8.0,1600
27,NGC 6853,Dumbbell Nebula,299.9017,22.7212,Vulpecula,8.0,7.5,380
28,NGC 6626,,276.1371,-24.8698,Sagittarius,11.2,6.8,5500
29,NGC 6913,,305.9875,38.5228,Cygnus,7.0,6.6,1150
30,NGC 7099,,325.0921,-23.1797,Capricornus,12.0,7.2,8100
31,NGC 224,Andromeda Galaxy,10.6847,41.2692,Andromeda,190.0,3.4,778000
32,NGC 221,,10.6743,40.8652,Andromeda,8.0,8.1,763000
33,NGC 598,Triangulum Galaxy,23.4621,30.6601,Triangulum,70.0,5.7,859000
34,NGC 1039,,40.5000,42.7458,Perseus,35.0,5.2,470
35,NGC 2168,,92.2708,24.3333,Gemini,28.0,5.1,850
36,NGC 1960,,84.0833,34.1333,Auriga,12.0,6.0,1300
37,NGC 2099,,88.0833,32.5500,Auriga,24.0,5.6,1400
38,NGC 1912,,82.1708,35.8333,Auriga,21.0,6.4,1400
